Year,Month,Day,Hour,SOLAR_KampongChhnang,SOLAR_KampongSpeu
2016,1,17,21,0.0,0.0
2016,1,17,22,0.0,0.0
2016,1,17,23,0.0,0.0
2016,1,18,0,0.0,0.0
2016,1,18,1,0.0,0.0
2016,1,18,2,0.0,0.0
2016,1,18,3,0.0,0.0
2016,1,18,4,0.0,0.0
2016,1,18,5,0.0,0.0
2016,1,18,6,1.9091454339284775,2.1762659180597295
2016,1,18,7,28.314808387957267,32.28298884422085
2016,1,18,8,67.68168734130512,77.14175837427764
2016,1,18,9,103.46736634371365,117.89426976350617
2016,1,18,10,128.4707433811434,145.8758682013377
2016,1,18,11,61.38517932404793,70.15449065605479
2016,1,18,12,61.46606912995876,70.2469361485243
2016,1,18,13,56.80496199237066,64.91995656270933
2016,1,18,14,47.15695019135502,53.8936573615486
2016,1,18,15,32.66741289520846,37.334186165952524
2016,1,18,16,15.582444361667815,17.808507841906078
2016,1,18,17,1.2132127642319968,1.3865288734079961
2016,1,18,18,0.0,0.0
2016,1,18,19,0.0,0.0
2016,1,18,20,0.0,0.0
2016,1,18,21,0.0,0.0
2016,1,18,22,0.0,0.0
2016,1,18,23,0.0,0.0
2016,1,19,0,0.0,0.0
2016,1,19,1,0.0,0.0
2016,1,19,2,0.0,0.0
2016,1,19,3,0.0,0.0
2016,1,19,4,0.0,0.0
2016,1,19,5,0.0,0.0
2016,1,19,6,3.1745119972771807,3.6171021327609556
2016,1,19,7,40.46490427197756,46.106760881217554
2016,1,19,8,90.78776701387383,103.41203319007542
2016,1,19,9,130.15294618221873,148.21694575580761
2016,1,19,10,155.50224973480937,176.38573587290205
2016,1,19,11,55.63291264839121,63.580471598161374
2016,1,19,12,55.79732416740416,63.76837047703332
2016,1,19,13,53.423851910121606,61.055830754424676
2016,1,19,14,45.98601008237886,52.555440094147265
2016,1,19,15,33.97995266091264,38.8342316124716
2016,1,19,16,17.23834425793007,19.700964866205794
2016,1,19,17,1.3924718347982077,1.591396382626523
2016,1,19,18,0.0,0.0
2016,1,19,19,0.0,0.0
2016,1,19,20,0.0,0.0
2016,1,19,21,0.0,0.0
2016,1,19,22,0.0,0.0
2016,1,19,23,0.0,0.0
2016,1,20,0,0.0,0.0
2016,1,20,1,0.0,0.0
2016,1,20,2,0.0,0.0
2016,1,20,3,0.0,0.0
2016,1,20,4,0.0,0.0
2016,1,20,5,0.0,0.0
2016,1,20,6,2.433831789948099,2.773994721441437
2016,1,20,7,34.37700234727121,39.18272789167981
2016,1,20,8,78.30537855706092,89.2245886149237
2016,1,20,9,115.1500265791767,131.17154090557898
2016,1,20,10,140.87715229824832,159.8725719154409
2016,1,20,11,59.274320188920434,67.74208021590907
2016,1,20,12,58.78850204108584,67.18685947552669
2016,1,20,13,55.126061209918795,63.00121281133576
2016,1,20,14,46.975511746008536,53.68629913829548
2016,1,20,15,34.150434648718665,39.02906816996418
2016,1,20,16,16.812688574449254,19.214501227942
2016,1,20,17,1.330469177759231,1.5205362031534067
2016,1,20,18,0.0,0.0
2016,1,20,19,0.0,0.0
2016,1,20,20,0.0,0.0
2016,1,20,21,0.0,0.0
2016,1,20,22,0.0,0.0
2016,1,20,23,0.0,0.0
2016,1,21,0,0.0,0.0
2016,1,21,1,0.0,0.0
2016,1,21,2,0.0,0.0
2016,1,21,3,0.0,0.0
2016,1,21,4,0.0,0.0
2016,1,21,5,0.0,0.0
2016,1,21,6,3.8191290589330116,4.35093363946191
2016,1,21,7,44.82685698070844,51.067070667873196
2016,1,21,8,96.20892186775532,109.57178620982961
2016,1,21,9,137.14109745749946,156.1483414125556
2016,1,21,10,158.336664041055,179.519057057605
2016,1,21,11,53.25042674376981,60.85763056430835
2016,1,21,12,53.15408676919768,60.74752773622591
2016,1,21,13,50.965002646152136,58.24571730988815
2016,1,21,14,44.295776991508156,50.623745133152184
2016,1,21,15,33.58457214152802,38.382368161746314
2016,1,21,16,17.662280195706373,20.185463080807285
2016,1,21,17,1.523123887468582,1.740713014249808
2016,1,21,18,0.0,0.0
2016,1,21,19,0.0,0.0
2016,1,21,20,0.0,0.0
2016,1,21,21,0.0,0.0
2016,1,21,22,0.0,0.0
2016,1,21,23,0.0,0.0
2016,1,22,0,0.0,0.0
2016,1,22,1,0.0,0.0
2016,1,22,2,0.0,0.0
2016,1,22,3,0.0,0.0
2016,1,22,4,0.0,0.0
2016,1,22,5,0.0,0.0
2016,1,22,6,3.7263190574769753,4.245513261370005
2016,1,22,7,44.337510280733596,50.51161955746701
2016,1,22,8,95.31661689654854,108.55867604837456
2016,1,22,9,133.97100414689132,152.5465553830165
2016,1,22,10,155.2368999860779,175.97900165821164
2016,1,22,11,53.76358712047575,61.444099566258004
2016,1,22,12,53.32508192953787,60.942950776614715
2016,1,22,13,48.61473568686424,55.559697927844844
2016,1,22,14,42.16772446925955,48.191685107725185
2016,1,22,15,32.2610945225529,36.86982231148903
2016,1,22,16,17.963446127566694,20.529652717219076
2016,1,22,17,1.8562121396406284,2.121385302446432
2016,1,22,18,0.0,0.0
2016,1,22,19,0.0,0.0
2016,1,22,20,0.0,0.0
2016,1,22,21,0.0,0.0
2016,1,22,22,0.0,0.0
2016,1,22,23,0.0,0.0
2016,1,23,0,0.0,0.0
2016,1,23,1,0.0,0.0
2016,1,23,2,0.0,0.0
2016,1,23,3,0.0,0.0
2016,1,23,4,0.0,0.0
2016,1,23,5,0.0,0.0
2016,1,23,6,4.388679112173416,4.999289845740569
2016,1,23,7,47.8523487172529,54.50762106104355
2016,1,23,8,99.50083639065002,113.31205666222502
2016,1,23,9,138.13766184404986,157.27419778047567
2016,1,23,10,159.19427341015356,180.47186425112966
2016,1,23,11,51.59598817392305,58.92455316943725
2016,1,23,12,51.764781165980004,59.15974990397715
2016,1,23,13,49.34940653959618,56.39932175953849
2016,1,23,14,43.30270853812384,49.488809757855805
2016,1,23,15,33.21202886069326,37.95660441222087
2016,1,23,16,17.97950784654681,20.548008967482073
2016,1,23,17,1.6349081509348926,1.8684664582113053
2016,1,23,18,0.0,0.0
2016,1,23,19,0.0,0.0
2016,1,23,20,0.0,0.0
2016,1,23,21,0.0,0.0
2016,1,23,22,0.0,0.0
2016,1,23,23,0.0,0.0
2016,1,24,0,0.0,0.0
2016,1,24,1,0.0,0.0
2016,1,24,2,0.0,0.0
2016,1,24,3,0.0,0.0
2016,1,24,4,0.0,0.0
2016,1,24,5,0.0,0.0
2016,1,24,6,3.859881683988309,4.39794682657216
2016,1,24,7,44.68710357806705,50.91253195958689
2016,1,24,8,96.23919956233614,109.61356205845033
2016,1,24,9,137.06094078978333,156.0598591517197
2016,1,24,10,159.50680192303,181.34184060008153
2016,1,24,11,55.412273680399274,62.26782618412111
2016,1,24,12,54.83369578910195,62.66708090183079
2016,1,24,13,51.82618010779997,59.22992012319996
2016,1,24,14,46.14818924450326,52.74078770800373
2016,1,24,15,34.66621904286484,39.61853604898839
2016,1,24,16,18.458210639320157,21.09509787350875
2016,1,24,17,1.7534073750028725,2.003894142860425
2016,1,24,18,0.0,0.0
2016,1,24,19,0.0,0.0
2016,1,24,20,0.0,0.0
2016,1,24,21,0.0,0.0
2016,1,24,22,0.0,0.0
2016,1,24,23,0.0,0.0
2016,1,25,0,0.0,0.0
2016,1,25,1,0.0,0.0
2016,1,25,2,0.0,0.0
2016,1,25,3,0.0,0.0
2016,1,25,4,0.0,0.0
2016,1,25,5,0.0,0.0
2016,1,25,6,4.8005562260519445,5.468582945539277
2016,1,25,7,48.70347788120001,55.481268622546004
2016,1,25,8,99.0548746059728,112.81808962373051
2016,1,25,9,137.33806638626118,156.3799936867597
2016,1,25,10,154.95942246195818,176.1667847751206
2016,1,25,11,62.324792753153716,68.93200878607426
2016,1,25,12,57.944207774528216,66.22195174231797
2016,1,25,13,53.91307210341856,61.61493954676406
2016,1,25,14,46.68080566823957,53.3494921922738
2016,1,25,15,35.08073486512033,40.09226841728038
2016,1,25,16,19.03706296345615,21.756643386807028
2016,1,25,17,2.002107082112247,2.2881223795568535
2016,1,25,18,0.0,0.0
2016,1,25,19,0.0,0.0
2016,1,25,20,0.0,0.0
2016,1,25,21,0.0,0.0
2016,1,25,22,0.0,0.0
2016,1,25,23,0.0,0.0
2016,1,26,0,0.0,0.0
2016,1,26,1,0.0,0.0
2016,1,26,2,0.0,0.0
2016,1,26,3,0.0,0.0
2016,1,26,4,0.0,0.0
2016,1,26,5,0.0,0.0
2016,1,26,6,5.9818232230649215,6.812185815964456
2016,1,26,7,56.960429684779534,64.86372077258319
2016,1,26,8,110.62078939241833,125.95214679820549
2016,1,26,9,148.15907801305488,168.6551127240501
2016,1,26,10,163.9751200440353,186.30574642664575
2016,1,26,11,66.09753513327357,69.64826918830059
2016,1,26,12,53.70162511547741,61.37328584625989
2016,1,26,13,49.270668729524715,56.30933569088539
2016,1,26,14,44.65417296031596,51.0333405260754
2016,1,26,15,34.22287194415968,39.1118536504682
2016,1,26,16,18.834917622291286,21.525620139761475
2016,1,26,17,2.0162280702423425,2.3042606517055346
2016,1,26,18,0.0,0.0
2016,1,26,19,0.0,0.0
2016,1,26,20,0.0,0.0
2016,1,26,21,0.0,0.0
2016,1,26,22,0.0,0.0
2016,1,26,23,0.0,0.0
2016,1,27,0,0.0,0.0
2016,1,27,1,0.0,0.0
2016,1,27,2,0.0,0.0
2016,1,27,3,0.0,0.0
2016,1,27,4,0.0,0.0
2016,1,27,5,0.0,0.0
2016,1,27,6,5.059575562811891,5.7635219222054905
2016,1,27,7,51.31960231944436,58.45376167263091
2016,1,27,8,104.03170512247873,118.46554311265501
2016,1,27,9,142.14233947634156,161.81596761120338
2016,1,27,10,158.13166094391298,179.63424244749203
2016,1,27,11,84.06288644140014,81.21720797914325
2016,1,27,12,50.18209630150953,57.35096720172519
2016,1,27,13,47.82050800806681,54.65200915207636
2016,1,27,14,43.05856176815221,49.20978487788825
2016,1,27,15,33.9858619404817,38.84098507483622
2016,1,27,16,18.657966666144947,21.32339047559423
2016,1,27,17,1.928293031563117,2.203763464643562
2016,1,27,18,0.0,0.0
2016,1,27,19,0.0,0.0
2016,1,27,20,0.0,0.0
2016,1,27,21,0.0,0.0
2016,1,27,22,0.0,0.0
2016,1,27,23,0.0,0.0
2016,1,28,0,0.0,0.0
2016,1,28,1,0.0,0.0
2016,1,28,2,0.0,0.0
2016,1,28,3,0.0,0.0
2016,1,28,4,0.0,0.0
2016,1,28,5,0.0,0.0
2016,1,28,6,5.487764141830081,6.25060916469375
2016,1,28,7,52.546945842912336,59.84695788527586
2016,1,28,8,103.80161365554959,118.19891989796136
2016,1,28,9,140.1268061767638,159.51674475908172
2016,1,28,10,150.9952636570011,171.50746151363842
2016,1,28,11,131.73614479260303,109.06756424756199
2016,1,28,12,54.840174160197535,62.674484754511475
2016,1,28,13,53.815190539154536,61.50307490189091
2016,1,28,14,46.59392014236637,53.250194448418696
2016,1,28,15,34.78958855115424,39.7595297727477
2016,1,28,16,18.555934410087918,21.20678218295762
2016,1,28,17,1.9138636874915391,2.1872727857046157
2016,1,28,18,0.0,0.0
2016,1,28,19,0.0,0.0
2016,1,28,20,0.0,0.0
2016,1,28,21,0.0,0.0
2016,1,28,22,0.0,0.0
2016,1,28,23,0.0,0.0
2016,1,29,0,0.0,0.0
2016,1,29,1,0.0,0.0
2016,1,29,2,0.0,0.0
2016,1,29,3,0.0,0.0
2016,1,29,4,0.0,0.0
2016,1,29,5,0.0,0.0
2016,1,29,6,4.332782999275765,4.936922762107356
2016,1,29,7,46.7010447267659,53.203506426521265
2016,1,29,8,96.83282490951377,110.28270794331256
2016,1,29,9,133.46717457377486,151.95248758061643
2016,1,29,10,141.8513365788208,161.12966413362574
2016,1,29,11,252.0,176.02602721645528
2016,1,29,12,54.76298631851327,62.58627007830089
2016,1,29,13,51.1184901629113,58.42113161475577
2016,1,29,14,44.465380766495976,50.817578018852544
2016,1,29,15,33.9827022490733,38.83737399894091
2016,1,29,16,18.702273315096882,21.374026645825012
2016,1,29,17,1.9723424725266843,2.254105682887639
2016,1,29,18,0.0,0.0
2016,1,29,19,0.0,0.0
2016,1,29,20,0.0,0.0
2016,1,29,21,0.0,0.0
2016,1,29,22,0.0,0.0
2016,1,29,23,0.0,0.0
2016,1,30,0,0.0,0.0
2016,1,30,1,0.0,0.0
2016,1,30,2,0.0,0.0
2016,1,30,3,0.0,0.0
2016,1,30,4,0.0,0.0
2016,1,30,5,0.0,0.0
2016,1,30,6,4.004584192373666,4.563576859638861
2016,1,30,7,41.998283698874424,47.85728347548872
2016,1,30,8,90.9052050477793,103.54883567972624
2016,1,30,9,130.114912210328,148.1442490985409
2016,1,30,10,141.10583043901022,160.23804977902174
2016,1,30,11,55.171046066506584,288.0
2016,1,30,12,55.40858369510842,63.32409565155248
2016,1,30,13,53.63981244414669,61.30264279331052
2016,1,30,14,46.50660709776782,53.15040811173464
2016,1,30,15,35.172119369684566,40.19670785106808
2016,1,30,16,18.177438140534445,20.77421501775365
2016,1,30,17,1.769076082657617,2.021801237322991
2016,1,30,18,0.0,0.0
2016,1,30,19,0.0,0.0
2016,1,30,20,0.0,0.0
2016,1,30,21,0.0,0.0
2016,1,30,22,0.0,0.0
2016,1,30,23,0.0,0.0
2016,1,31,0,0.0,0.0
2016,1,31,1,0.0,0.0
2016,1,31,2,0.0,0.0
2016,1,31,3,0.0,0.0
2016,1,31,4,0.0,0.0
2016,1,31,5,0.0,0.0
2016,1,31,6,3.2839192208478765,3.743297757603916
2016,1,31,7,37.03642340148828,42.21418723631513
2016,1,31,8,83.38283377071122,95.00079185297517
2016,1,31,9,122.21515478146806,139.17403241459866
2016,1,31,10,136.0815962463995,154.52278656293154
2016,1,31,11,56.948427805798325,65.08391749234094
2016,1,31,12,57.34355388511517,65.53549015441735
2016,1,31,13,53.3838033654515,61.010060989087435
2016,1,31,14,45.57775230915091,52.08885978188674
2016,1,31,15,34.883892124815674,39.867305285503626
2016,1,31,16,18.903021262410288,21.60345287132604
2016,1,31,17,2.0767563444315034,2.373435822207432
2016,1,31,18,0.0,0.0
2016,1,31,19,0.0,0.0
2016,1,31,20,0.0,0.0
2016,1,31,21,0.0,0.0
2016,1,31,22,0.0,0.0
2016,1,31,23,0.0,0.0
2016,2,1,0,0.0,0.0
2016,2,1,1,0.0,0.0
2016,2,1,2,0.0,0.0
2016,2,1,3,0.0,0.0
2016,2,1,4,0.0,0.0
2016,2,1,5,0.0,0.0
2016,2,1,6,4.249676815400546,4.842899707568357
2016,2,1,7,41.67657333921399,47.49247859051354
2016,2,1,8,87.82038930028192,100.04350500259933
2016,2,1,9,126.10987454440287,143.59015716038172
2016,2,1,10,134.07384170913662,152.20357255618063
2016,2,1,11,57.579012307346574,65.80458549411037
2016,2,1,12,57.340184692163184,65.5316396481865
2016,2,1,13,54.19779696380453,61.94033938720517
2016,2,1,14,46.73608679229379,53.41267061976431
2016,2,1,15,34.994540237850075,39.993760271828656
2016,2,1,16,18.944453905732267,21.650804463694016
2016,2,1,17,1.9951857409435483,2.2802122753640552
2016,2,1,18,0.0,0.0
2016,2,1,19,0.0,0.0
2016,2,1,20,0.0,0.0
2016,2,1,21,0.0,0.0
2016,2,1,22,0.0,0.0
2016,2,1,23,0.0,0.0
2016,2,2,0,0.0,0.0
2016,2,2,1,0.0,0.0
2016,2,2,2,0.0,0.0
2016,2,2,3,0.0,0.0
2016,2,2,4,0.0,0.0
2016,2,2,5,0.0,0.0
2016,2,2,6,4.676178727062327,5.328554281656553
2016,2,2,7,45.15615291618848,51.45042265199635
2016,2,2,8,94.8461141855379,108.02784710274376
2016,2,2,9,132.17217533964217,150.4690414440873
